               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.056145,            0.054376,           0.0069538,             0.95371,             0.59704,             0.70139,             0.29676,            0.040771,            0.065009,           0.0038195,            0.009307,            0.009307,            0.009307
                  37,            0.058663,            0.054911,           0.0080229,             0.73015,             0.73342,             0.71713,             0.34573,            0.030932,            0.063592,           0.0039293,           0.0092872,           0.0092872,           0.0092872
                  38,             0.05516,            0.054338,            0.006631,             0.64709,             0.67885,             0.67927,             0.33673,            0.031309,            0.062922,           0.0039265,           0.0092674,           0.0092674,           0.0092674
                  39,            0.055299,            0.054379,           0.0074185,             0.66452,             0.72119,             0.70645,             0.32386,            0.037183,            0.064515,           0.0038074,           0.0092476,           0.0092476,           0.0092476
                  40,            0.057734,            0.052132,           0.0064472,              0.8204,             0.71058,              0.7199,              0.3125,            0.036399,            0.063891,           0.0038681,           0.0092278,           0.0092278,           0.0092278
                  41,            0.055033,            0.052481,           0.0059802,             0.65162,             0.65432,             0.66134,             0.28074,            0.032625,            0.062492,           0.0037365,            0.009208,            0.009208,            0.009208
                  42,            0.060265,            0.056931,           0.0069559,             0.66047,             0.67956,             0.67785,             0.34111,            0.031406,            0.062443,           0.0036701,           0.0091882,           0.0091882,           0.0091882
                  43,            0.058328,            0.054382,           0.0076391,             0.77843,             0.69446,             0.70966,             0.32643,            0.032655,             0.06236,           0.0037508,           0.0091684,           0.0091684,           0.0091684
                  44,            0.058071,            0.055381,           0.0081981,             0.74031,             0.71097,             0.70238,             0.31877,             0.03508,            0.063103,           0.0039757,           0.0091486,           0.0091486,           0.0091486
                  45,            0.051974,            0.055068,           0.0083527,             0.76755,             0.69929,              0.7151,             0.37047,            0.028159,            0.060977,           0.0035391,           0.0091288,           0.0091288,           0.0091288
                  46,            0.054584,            0.052125,           0.0057602,             0.70932,              0.6707,             0.69313,             0.33736,            0.032176,            0.061334,            0.003899,            0.009109,            0.009109,            0.009109
                  47,            0.056086,            0.053403,           0.0060801,             0.89619,             0.73166,             0.75145,             0.37357,            0.026862,             0.06123,           0.0047911,           0.0090892,           0.0090892,           0.0090892
                  48,            0.051245,            0.053543,           0.0067834,             0.82908,             0.69882,              0.7356,             0.37522,            0.031174,            0.060871,           0.0042475,           0.0090694,           0.0090694,           0.0090694
                  49,            0.052253,             0.05341,           0.0061411,             0.77011,             0.71118,             0.70941,             0.36828,            0.028343,            0.060565,           0.0038395,           0.0090496,           0.0090496,           0.0090496
                  50,            0.050197,            0.051039,            0.005808,             0.85308,             0.70645,             0.71844,             0.38025,            0.027721,             0.06127,           0.0035093,           0.0090298,           0.0090298,           0.0090298
                  51,            0.045318,            0.052156,           0.0047044,             0.71616,             0.69503,             0.67234,             0.32624,            0.032564,            0.061808,           0.0034264,             0.00901,             0.00901,             0.00901
                  52,            0.053813,            0.051901,            0.005988,             0.80415,             0.71728,             0.72495,             0.34306,            0.029131,            0.061663,           0.0033577,           0.0089902,           0.0089902,           0.0089902
                  53,            0.053555,            0.054264,           0.0061602,             0.66054,             0.73031,             0.66671,             0.33235,            0.032848,            0.062335,            0.003721,           0.0089704,           0.0089704,           0.0089704
                  54,            0.052152,            0.051325,           0.0051674,              0.8797,             0.73289,             0.75399,             0.35897,            0.030383,            0.062072,           0.0036896,           0.0089506,           0.0089506,           0.0089506
                  55,            0.050116,             0.05271,           0.0074005,             0.82542,             0.73514,             0.72635,             0.33118,            0.027991,            0.061666,           0.0038887,           0.0089308,           0.0089308,           0.0089308
                  56,            0.052377,             0.04992,           0.0060675,             0.81766,             0.68994,             0.70385,             0.35374,            0.026351,            0.062576,           0.0080647,            0.008911,            0.008911,            0.008911
                  57,            0.050216,            0.055834,             0.00725,             0.79648,             0.72702,             0.72776,             0.36447,            0.026698,            0.060979,           0.0039883,           0.0088912,           0.0088912,           0.0088912
                  58,            0.048695,            0.053251,           0.0061704,             0.82113,             0.70534,             0.71897,             0.32802,            0.030415,             0.06263,           0.0040478,           0.0088714,           0.0088714,           0.0088714
                  59,            0.048494,            0.051166,           0.0051235,             0.85583,             0.71385,             0.73805,             0.35464,            0.033638,             0.06435,           0.0037142,           0.0088516,           0.0088516,           0.0088516
                  60,            0.053768,            0.052817,           0.0054835,             0.82028,             0.73699,             0.72943,             0.30936,             0.03383,             0.06448,            0.003404,           0.0088318,           0.0088318,           0.0088318
